id,name,price,original_price,discount_percentage,shop_name,shop_city,price_clean,ram_gb,storage_gb,storage_type,cpu_brand,cpu_model,cpu_series
102252755112,"LAPTOP ACER ASPIRE LITE AL14-32P : INTEL N150/ 8GB DDR5/ 512GB /WUXGA 14"" IPS/ W11 OHS24 COPILOT KEY",5349000,,100.0,mdpsuperstore,Palembang,5349000,8.0,512.0,ssd,Intel,N150,N150
102231397091,"Laptop Lenovo IdeaPad Slim 3 14IRH10 3NID Intel Core i5 13420H 8GB 512GB 14"" WUXGA IPS W11+OHS24",8599000,,100.0,Starcomp Semarang,Semarang,8599000,8.0,512.0,ssd,Intel,I5-13420H,I5
102298229731,"Laptop Lenovo IdeaPad Slim 3 14IAU7 GCID Intel Core i3 1215U 8GB 256GB 14"" FHD W11+OHS21",5749000,,100.0,Starcomp Semarang,Semarang,5749000,8.0,256.0,ssd,Intel,I3-1215U,I3
100780129365,"Acer Laptop AL14-32P-C9VS Intel N150 8GB 512GB 14"" W11",5099000,,100.0,MyHartono,Surabaya,5099000,8.0,512.0,ssd,Intel,N150,N150
100780129080,"Acer Laptop Nitro ANV16-71-79NR Intel Core i7-14650HX 16GB 512GB 16"" W11",16499000,,100.0,MyHartono,Surabaya,16499000,16.0,512.0,ssd,Intel,I7-14650HX,I7
16138394669,Laptop HP VICTUS 15 Core i5 13420H RTX3050 6GB/ 16GB 512GB W11+OHS 15.6FHD IPS 144HZ BLIT 2Y+ADP SLV -FA2716TX,11289000,Rp14.000.000,19.36,AGRES - HP Authorized,Jakarta Utara,11289000,6.0,512.0,ssd,Intel,I5-13420H,I5
102528325519,Asus Laptop TUF A16 FA607NUG Ryzen 7 7445HS RTX4050 6GB 32GB 1TB Windows 11 Garansi 1 Tahun,14249000,,100.0,Ten Com,Jakarta Selatan,14249000,6.0,1024.0,ssd,AMD,Ryzen 7 7445HS,Ryzen 7
102403618279,ASUS VIVOBOOK X1404VA INTEL CORE I7 1355 I5 1335 I5 1334 16GB 512GB W11 OFFICE 14.0FHD IPS LAPTOP ULTRABOOK Laptop Tipis & Nyaman untuk Kerja & Kuliah,7789000,Rp11.999.000,35.09,royalltech,Jakarta Utara,7789000,16.0,512.0,ssd,Intel,I7-1355,I7
102631381862,"Laptop Lenovo Ideapad Slim 3 14 Ryzen 3 7320 8GB 512GB W11 OHS 14"" FHD",6189000,Rp8.999.000,31.23,royalltech,Jakarta Utara,6189000,8.0,512.0,ssd,AMD,Ryzen 3 7320,Ryzen 3
102588566035,LENOVO PRO 5 16 OLED TOUCH  INTEL ULTRA 9 185H RTX4050 6GB/ 32GB 1TB W11 16.0QHD LAPTOP GAMING TOUCH SCREEN,18989000,Rp21.999.000,13.68,royalltech,Jakarta Utara,18989000,6.0,1024.0,ssd,Intel,i7-Gen12,I7
